assigned_to,id,doi_link,manuscript_type,novel_biologging,biologging_context,external_data,device_cat,genus,species,habitat,more_species,biologging_availability,conserv*,note,authors,title,source,year,volume,issue,doi,pub_type,source_sheet,access?,reviewed
mfc,stalder2020,doi.org/10.3354/meps13412,S,FALSE,W,Y,L,Phocoena,phocoena,M,N,N,Y,NA,"Stalder, D; van Beest, FM; Sveegaard, S; Dietz, R; Teilmann, J; Nabe-Nielsen, J",Influence of environmental variability on harbour porpoise movement,MARINE ECOLOGY PROGRESS SERIES,2020,648,NA,10.3354/meps13412,J,mfc,NA,TRUE
mfc,kuhn2020,doi.org/10.3354/meps13224,S,TRUE,W,N,L,Callorhinus,ursinus,M,N,N,N,NA,"Kuhn, CE; De Robertis, A; Sterling, J; Mordy, CW; Meinig, C; Lawrence-Slavas, N; Cokelet, E; Levine, M; Tabisola, H; Jenkins, R; Peacock, D; Vo, D",Test of unmanned surface vehicles to conduct remote focal follow studies of a marine predator,MARINE ECOLOGY PROGRESS SERIES,2020,635,NA,10.3354/meps13224,J,mfc,NA,TRUE
mfc,royer2020,doi.org/10.1186/s40317-020-00196-x,S,TRUE,W,N,LIE,Sphyrna,mokarran,M,N,Y,N,NA,"Royer, M; Maloney, K; Meyer, C; Cardona, E; Payne, N; Whittingham, K; Silva, G; Blandino, C; Holland, K",Scalloped hammerhead sharks swim on their side with diel shifts in roll magnitude and periodicity,ANIMAL BIOTELEMETRY,2020,8,1,10.1186/s40317-020-00196-x,J,mfc,NA,TRUE
mfc,collins2020,doi.org/10.1111/jav.02057,S,TRUE,W,Y,LI,Rissa,tridactyla,M,N,Y,N,NA,"Collins, PM; Green, JA; Elliott, KH; Shaw, PJA; Chivers, L; Hatch, SA; Halsey, LG",Coping with the commute: behavioural responses to wind conditions in a foraging seabird,JOURNAL OF AVIAN BIOLOGY,2020,51,4,10.1111/jav.02057,J,mfc,NA,TRUE
mfc,mustonen2012,doi.org/10.1186/1472-6785-12-27,S,TRUE,W,N,LI,Nyctereutes,procyonoides,T,N,N,N,NA,"Mustonen, AM; Lempiainen, T; Aspelund, M; Hellstedt, P; Ikonen, K; Itamies, J; Vaha, V; Erkinaro, J; Asikainen, J; Kunnasranta, M; Niemela, P; Aho, J; Nieminen, P",Application of change-point analysis to determine winter sleep patterns of the raccoon dog (Nyctereutes procyonoides) from body temperature recordings and a multi-faceted dietary and behavioral study of wintering,BMC ECOLOGY,2012,12,NA,10.1186/1472-6785-12-27,J,mfc,NA,TRUE
mfc,rooker2007,doi.org/10.1080/10641260701484135,R,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rooker, JR; Bremer, JRA; Block, BA; Dewar, H; De Metrio, G; Corriero, A; Kraus, RT; Prince, ED; Rodriguez-Marin, E; Secor, DH",Life history and stock structure of Atlantic bluefin tuna (Thunnus thynnus),REVIEWS IN FISHERIES SCIENCE,2007,15,4,10.1080/10641260701484135,J,mfc,NA,TRUE
mfc,naughton2018,doi.org/10.1071/MF18124,S,TRUE,W,N,LI,Oncorhynchus,tshawytscha,AM,N,N,Y,NA,"Naughton, GP; Keefer, ML; Clabough, TS; Knoff, MJ; Blubaugh, TJ; Sharpe, C; Caudill, CC",Reservoir provides cool-water refuge for adult Chinook salmon in a trap-and-haul reintroduction program,MARINE AND FRESHWATER RESEARCH,2018,69,12,10.1071/MF18124,J,mfc,NA,TRUE
mfc,tobin2021a,doi.org/10.3390/ani11092635,S,TRUE,C,N,L,Bos,taurus,T,N,N,N,NA,"Tobin, CT; Bailey, DW; Stephenson, MB; Trotter, MG",Temporal Changes in Association Patterns of Cattle Grazing at Two Stocking Densities in a Central Arizona Rangeland,ANIMALS,2021,11,9,10.3390/ani11092635,J,mfc,NA,TRUE
mfc,haan2010,doi.org/10.2111/REM-D-09-00045.1,S,TRUE,D,N,L,Bos,taurus,T,N,N,N,NA,"Haan, MM; Russell, JR; Davis, JD; Morrical, DG",Grazing Management and Microclimate Effects on Cattle Distribution Relative to a Cool Season Pasture Stream,RANGELAND ECOLOGY & MANAGEMENT,2010,63,5,10.2111/REM-D-09-00045.1,J,mfc,NA,TRUE
mfc,osullivan2022,doi.org/10.1038/s41597-022-01235-3,D,TRUE,W,N,LI,Carcharodon,carcharias,M,N,Y,Y,NA,"O'Sullivan, J; Lowe, CG; Sosa-Nishizaki, O; Jorgensen, SJ; Anderson, JM; Farrugia, TJ; Garcia-Rodriguez, E; Lyons, K; McKinzie, MK; Onate-Gonzalez, EC; Weng, K; White, CF; Winkler, C; Van Houtan, KS",A biologging database of juvenile white sharks from the northeast Pacific,SCIENTIFIC DATA,2022,9,1,10.1038/s41597-022-01235-3,J,mfc,NA,TRUE
mfc,hays2018,doi.org/10.3389/fmars.2018.00009,P,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hays, GC; Alcoverro, T; Christianen, MJA; Duarte, CM; Hamann, M; Macreadie, PI; Marsh, HD; Rasheed, MA; Thums, M; Unsworth, RKE; York, PH; Esteban, N",New Tools to Identify the Location of Seagrass Meadows: Marine Grazers as Habitat Indicators,FRONTIERS IN MARINE SCIENCE,2018,5,NA,10.3389/fmars.2018.00009,J,mfc,NA,TRUE
mfc,stclair2019,doi.org/10.1098/rstb.2018.0050,S,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Data previously published elsewhere. ""Detailed methods for the results described below are contained in the associated papers"" [no references cited]","St Clair, CC; Backs, J; Friesen, A; Gangadharan, A; Gilhooly, P; Murray, M; Pollock, S",Animal learning may contribute to both problems and solutions for wildlife - train collisions,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2019,374,1781,10.1098/rstb.2018.0050,J,mfc,NA,TRUE
mfc,whiting2008,doi.org/10.1071/ZO08033,S,TRUE,W,N,L,Dugong,dugon,M,N,N,N,NA,"Whiting, SD",Movements and distribution of dugongs (Dugong dugon) in a macro-tidal environment in northern Australia,AUSTRALIAN JOURNAL OF ZOOLOGY,2008,56,4,10.1071/ZO08033,J,mfc,NA,TRUE
